"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 01, Tehsil : Gird",,,,,,,,,,,,,,,,,
1,"20 SUTRIYA NAGAR, JANKTAL","9,000","13,500","9,000","22,000","16,200","14,600","13,000","37,500","35,900","34,300","17,600","30,000","1,04,00,000","1,04,00,000","9,000","13,500"
2,A. B. ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","17,60,00,000","17,60,00,000","25,000","37,500"
3,"A.B. ROAD  SE SHANKARPURKERASHAR SE GRAM
BARA HOTE HUA THAR TAK","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","17,600","31,200","96,00,000","96,00,000","10,000","15,000"
4,AADARSH MIL ROAD,"18,000","27,000","18,000","31,000","25,200","23,600","22,000","51,000","49,400","47,800","24,800","40,800","8,00,00,000","8,00,00,000","18,000","27,000"
5,"AADIWASIPURA, JATAVPURA, SARASWATI NAGAR","5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","4,50,00,000","4,50,00,000","5,000","7,500"
6,"BAHODAPUR ROAD SE HATKAR, PANCHWATI COLONY,PHOOLJHARI KARKHANA,SUBSHASH  NAGAR,JADAV COLONY","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","7,68,00,000","7,68,00,000","15,000","22,500"
7,BARA ROAD PAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,84,00,000","1,84,00,000","15,000","22,500"
8,BARA ROAD SE HATKAR,"10,000","15,000","6,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","96,00,000","96,00,000","10,000","15,000"
9,GARGAJ COLONY,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","9,00,00,000","9,00,00,000","15,000","22,500"
10,JAY VIHAR PARISAR JADHAV KOTI,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","3,20,00,000","3,20,00,000","20,000","30,000"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
11,JEL ROAD BHODAPUR TIRAHE TAK,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","15,00,00,000","15,00,00,000","25,000","37,500"
12,"JINNATO KA MOHALLA ISLAMPURA, ISLAMPURA,SCHOOL WALI GALI","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","8,00,00,000","8,00,00,000","10,000","15,000"
13,"KESHOBAAG,KISHANBAAG","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","13,20,00,000","13,20,00,000","25,000","37,500"
14,R.R.TOWER (BAHODAPUR SE A.B. ROAD TAK,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","17,60,00,000","17,60,00,000","20,000","30,000"
15,RAMAJI KA PURA ROAD CHODKAR,"9,000","13,500","9,000","22,000","16,200","14,600","13,000","37,500","35,900","34,300","17,600","30,000","6,00,00,000","6,00,00,000","9,000","13,500"
